,Date,News
110,2019-12-19,Sep quarter earnings declined by 9.6-pct for 264 companies: FC Research
111,2019-12-19,Fitch revises Outlook on Sri Lanka to Negative; affirms at ‘B’
112,2019-12-17,Sri Lanka economy boosted after election by local investor activity: ICRA
113,2019-12-16,National policy framework of Government released via Treasury web site
114,2019-12-11,Fiscal stimulus will boost demand in short-run but create instability in long-run: ICRA
115,2019-12-06,Sri Lanka official reserves down to USD7.5bn by end November
116,2019-12-06,Central Bank to introduce new law regulating moneylenders
117,2019-12-03,Investor Dr. Mark Mobius in Colombo next week
118,2019-12-02,Finance Ministry outlines intention behind Sri Lanka’s new tax regime
119,2019-11-29,Policy rates of Sri Lanka’s Central Bank to remain unchanged
120,2019-11-28,CSE comes alive with Rs2.8bn turnover but foreigners keep selling
121,2019-11-28,Colombo stocks surge on Rajapaksa tax cut bonanza
122,2019-11-27,"Sri Lanka announces tax reliefs; cuts VAT to 8-pct, removes PAYE, WHT & Capital Gains Tax"
123,2019-11-21,Central Bank expresses its strong objection to statement released by Fitch Ratings
124,2019-11-21,Sri Lanka election result increases policy uncertainty: Fitch Ratings
125,2019-11-14,"Sri Lanka’s stocks move up, but foreigners sell Rs1.5bn ahead of Presidential election"
126,2019-11-12,Attorney General advises Central Bank not to make Forensic Audit reports public
127,2019-11-05,SEC files action against Wegapitiya & others for market manipulation in Laugfs Gas
128,2019-11-05,Sri Lanka FDI down in first half of 2019: Dips in service and infrastructure sectors
129,2019-10-30,Ceylon Chamber advocates 12 focus areas to accelerate economic growth
130,2019-10-24,First Capital recommends investors to increase exposure in mid-long tenor bonds
131,2019-10-21,Financial Action Task Force delists Sri Lanka from Grey List
132,2019-10-14,SEC issues cautionary notice to public on investing in offshore companies
133,2019-10-11,Sri Lanka CB maintains policy rates unchanged
134,2019-10-09,Colombo stocks surge as Gota secures SLFP support
135,2019-10-08,Softlogic Capital to raise Rs1.5Bn
136,2019-10-04,"First Capital anticipates Sri Lanka ASPI to reach 6,000 by Dec 2019 & 6,500 by Jun 2020"
137,2019-09-30,IOSCO launches World Investor Week to promote investor education
138,2019-09-25,IMF reaches staff level agreement on sixth review of Sri Lanka’s Extended Fund Facility
139,2019-09-20,"Global financial assets fall,  SL economy slows: Report"
140,2019-09-19,Sri Lanka GDP growth 1.6-pct in Q2
141,2019-09-06,Sri Lanka official reserves improve to USD 8.5 bn in August
142,2019-09-03,People’s Bank privatization rumour is baseless & politically motivated: Finance Ministry
143,2019-09-03,"CSE to amend listing rules in improving public market access, IPO process"
144,2019-08-23,Rupee depreciation pressure experienced during past few days to be short-lived: Central Bank
145,2019-08-23,Central Bank decides to reduce SDFR & SLFR by 50bps; SRR unchanged
146,2019-08-20,Samurai Bond to support reserves to maintain around USD8Bn throughout 2019: FC
147,2019-08-20,First Capital assigns higher probability for neutral monetary policy stance
148,2019-08-09,Sri Lanka official reserves at USD 8.3bn by end July; YTD rupee appreciation 3.1-pct
149,2019-08-02,Federal Reserve cuts interest rates for first time since 2008
150,2019-08-01,First Capital recommends investors to reduce exposure in low yield bonds
151,2019-07-26,Sri Lanka’s 1st dollar sovereign bond fund poised for global investors
152,2019-07-19,Sri Lanka Central Bank expects lending rates to reduce further in immediate future
153,2019-07-12,"Sri Lanka’s possible fiscal slippage, main argument for not relaxing policy: CBSL Chief"
154,2019-07-11,Sri Lanka reserves improve to USD 8.9bn by end June; YTD rupee appreciation 4.1-pct
155,2019-07-08,Monetary Policy to be maintained allowing impact of previous rate cut to materialize: FCR
156,2019-07-06,Foreign outflows continue to plague Sri Lanka’s capital markets
157,2019-07-05,Perpetual Treasuries suspension of business activities extended by 6 months
158,2019-07-02,World Bank classifies Sri Lanka as upper-middle income country under new revision
159,2019-06-26,Sri Lanka securities regulator files charges on market manipulation
160,2019-06-13,First Capital upgrades exchange rate outlook for 2019E to LKR 180 from 194
161,2019-06-08,US$ 20mn foreign outflow from Sri Lanka’s bonds after CBSL cuts rates
162,2019-06-07,Sri Lanka official reserves fall to USD 6.7bn by end May from 7.2bn in April
163,2019-06-01,Foreign flows into Sri Lanka’s stocks/bonds as security situation stabilises
164,2019-05-31,Central Bank suspends business activities of NatWealth Securities Limited
165,2019-05-31,"Amidst elevated market lending rates, private sector credit contracted notably: CBSL"
166,2019-05-29,World Bank to allocate USD 250mn policy based guarantee to Sri Lanka for external borrowings
167,2019-05-29,Sri Lanka rupee appreciated 3.8-pct against the US dollar up to 28 May 2019
168,2019-05-27,First Capital Research allocates 95-pct probability for a policy rate cut
169,2019-05-26,Strong possibility of a rate cut; interest rate decline to boost stock market: Capital Trust
170,2019-05-24,Foreign outflow from Sri Lanka government bonds reverses in past week
171,2019-05-24,Harry J’s shareholding in JKH nears 10%
172,2019-05-23,IMF wants SEC to streamline enforcement program; expedite high-profile criminal actions
173,2019-05-18,Sri Lanka official reserves fall to USD 7.2bn by end April; YTD rupee appreciation 3.7-pct
174,2019-05-17,Foreigners sell Sri Lanka’s stocks as EPF enters the market
175,2019-05-17,CBSL to resume FX purchases to rebuild net intl reserves to USD6.9bn by end Dec
176,2019-05-10,Foreigners flee Sri Lankan bonds with Rs11bn outflows this week
177,2019-05-05,Sri Lanka’s rupee weak as foreigners exit bonds after Easter Sunday terror
178,2019-04-26,CSE sees Rs1.5bn net foreign inflow following 4% drop after terror attacks
179,2019-04-24,Foreigners surprisingly buy shares of JKH after Sri Lanka’s Easter terror
180,2019-04-22,Sri Lanka stock market operations to resume from Tuesday
181,2019-04-11,Central Bank launches roadmap for sustainable finance in Sri Lanka
182,2019-04-08,Policy rates could be reduced in future if current trends continue: Central Bank
183,2019-04-08,Sri Lanka Central Bank maintains policy interest rates at current levels
184,2019-04-05,Sri Lanka official reserves improve to USD 7.6 billion by end March
185,2019-04-02,50 percent probability for a policy rate cut in April: First Capital Research
186,2019-03-31,Sri Lanka’s Securities & Exchange Commission files action for insider dealing
187,2019-03-19,Sri Lanka rupee gains: Stocks marginally down
188,2019-03-08,Sri Lanka official reserves at USD 6.0 billion by end February
189,2019-03-07,Moody’s assigns B2 rating to Sri Lanka’s senior unsecured US dollar bonds
190,2019-03-07,Stock investor Nimal Perera takes to twitter to bash the CSE
191,2019-03-07,Fitch assigns Sri Lanka’s upcoming USD bonds an expected rating of B (EXP)
192,2019-03-06,Another cash call – DFCC to tap the markets for Rs7.6bn in strikingly low priced rights issue
193,2019-03-01,Rock bottom Rs12bn rights issue pricing crashes Sampath Bank (SAMP) shares
194,2019-03-01,IMF reaches understanding at staff level to extend EFF for an additional year
195,2019-02-28,Sri Lanka stocks wake up with net foreign buying
196,2019-02-22,Inflation likely to remain in 4 – 6 percent range in 2019: Central Bank projections
197,2019-02-22,Central Bank decides to reduce SRR & keep policy rates unchanged
198,2019-02-13,World Bank Vice President arrives in Sri Lanka to support country’s reform plans
199,2019-02-11,"Sri Lanka stocks wake up, foreigners active but still net sellers"
200,2019-02-08,Sri Lanka official reserves down to USD 6.1 billion by end January: Central Bank
201,2019-02-07,SEC charges a person before Magistrate for failing to appear when summoned
202,2019-02-05,CINV and GUAR considering options to wind up The Sri Lanka Fund
203,2019-02-05,"Harry J’s shareholding in JKH approaching 10%, stake valued at close to Rs20bn"
204,2019-01-28,An insight into Sri Lanka’s economic behaviour: NTB
205,2019-01-25,Sri Lanka’s USD200mn development bond issue undersubscribed
206,2019-01-21,"Fitch-rated frontier markets saw 13 positive, 6 negative rating actions in 2018"
207,2019-01-18,Foreign institutions dump over $ 100mn of Sri Lanka bonds to start 2019
208,2019-01-17,Ailing rupee and price controls may lead to a shortage of milk powder: Advocata
209,2019-01-16,"JKH buyback fully subscribed, Rs11bn worth of shares to be repurchased at 160"
210,2019-01-16,IMF to visit Colombo in mid-Feb to resume program discussions: Christine Lagarde
211,2019-01-14,"Sri Lanka Govt., IMF talks to start"
212,2019-01-12,Foreign exodus out of Sri Lanka’s capital markets continues in 2019
213,2019-01-10,Sri Lanka’s highest ever loan installment due next week: PM
214,2019-01-09,FM to meet IMF Managing Director in Washington on IMF Fund Facility
215,2019-01-09,Reserve Bank of India agrees to provide USD400mn SWAP to Central Bank
216,2019-01-08,Recent rupee depreciation aligned with capital outflows not current account
217,2018-12-28,First Capital increases equity exposure as global funds reversing towards Asia
218,2018-12-21,Net outflows from securities market & CSE surpasses USD200mn in October
219,2018-12-21,CSE announces changes in S&P SL20 with year-end index rebalance
220,2018-12-20,LSEG Technology implements settlement solution for Singapore Exchange
221,2018-12-20,Active trading in shares of John Keells Holdings (JKH)
222,2018-12-18,China Securities Depository and Clearing Corporation and CDS Sri Lanka commits to corporation
223,2018-12-06,"Sri Lanka’s macro economic conditions stable, Fiscal discipline required: CB Gov"
224,2018-11-29,Sri Lanka rupee depreciated against US dollar by 15-pct this year
225,2018-11-23,Sri Lanka rupee hits new low of Rs.180: Stocks down 0.34-pct
226,2018-11-21,Sri Lanka’s political crisis puts IMF loan negotiations on hold
227,2018-11-20,Moody’s downgrades Sri Lanka ratings to B2 amid political crisis
228,2018-11-15,Sri Lanka growth expected to recover to 4 – 4.5-pct in 2019: CB Gov
229,2018-11-14,Sri Lanka CB Chief confident of meeting debt repayment targets in 2019
230,2018-11-12,John Keells Holdings (JKH) makes Rs11bn stock buyback offer
231,2018-11-09,Constitutional Crisis – Rs28bn foreign capital flees Sri Lanka in 2 weeks
232,2018-11-07,Sri Lanka Central Bank rejects recent news articles on increased money printing
233,2018-11-07,CSE & GRI announce next round of workshops for listed companies
234,2018-11-05,Constitutional Crisis – Foreign exodus from CSE continues with Rs3bn sold today
235,2018-11-05,Heavy trading in John Keells (JKH) with over 1.5% of company changing hands
236,2018-11-05,Mangala says Singapore Platts price of refined petrol down 12-pct since Oct 10
237,2018-11-04,Constitutional Crisis – close to $ 100mn flees stock/bond markets last week
238,2018-10-30,John Keells (JKH) stock flying – approaching 150/share as foreigners selling
239,2018-10-26,Parliament passes resolution to raise Rs.310Bn under Active Liability Mgmt
240,2018-10-26,"John Keells Holdings (JKH) moving higher, up over 10% from multiyear lows"
241,2018-10-22,Finance Ministry justifies divestiture of Hyatt and Hilton Hotels
242,2018-10-20,"Foreign outflows from stocks/bonds Rs7.6bn/week, $ 1bn loan from China to prop reserves"
243,2018-10-17,Sri Lanka secures USD1Bn Foreign Currency Term Financing Facility
244,2018-10-17,Sri Lanka plans new import controls for non essential goods
245,2018-10-16,Controversial investor Nimal Perera discloses stock market positions in DailyFT report
246,2018-10-16,"JKH shares trade Rs1.3bn for the day, most transactions at 126-127/share"
247,2018-10-15,"Foreign outflow from the CSE $ 10mn on the day, $ 50mn for 2018"
248,2018-10-12,Net foreign outflows from Sri Lanka’s stock/bond markets cross $ 500mn YTD
249,2018-10-12,Central Bank says Cabraal’s comments on rupee depreciation misleading
250,2018-10-11,"Global stock markets plunging, Sri Lanka’s CSE takes no notice"
251,2018-10-11,CSE-SEC holds Invest Sri Lanka Forum in Edinburgh and London
252,2018-10-10,"Sri Lanka FM interview ahead of IMF and WB annual meet on global trade, economy"
253,2018-10-05,"President, NEC hold discussions on devaluation of rupee and economy"
254,2018-10-02,Sri Lanka reserves at USD7.3bn; used only USD184mn YTD to defend rupee
255,2018-10-02,Sri Lankan rupee depreciates 9.7-pct YTD; CB says observed stabilizing exchange rate
256,2018-10-02,Central Bank of Sri Lanka maintains policy interest rates at current levels
257,2018-09-29,"Sri Lanka restricts vehicle imports for MPs, Ministries, state sector employees & others"
258,2018-09-29,"Current policy stance desired, less probability for a rate hike: First Capital Research"
259,2018-09-29,Opinion: Central Bank intervention likely to exacerbate foreign selling of Sri Lanka bonds
260,2018-09-28,IMF staff mission concludes visit to Sri Lanka; stresses on reforms
261,2018-09-26,Collapse of rupee and yahapalana govt.’s economic mismanagement: MR
262,2018-09-25,Appropriation Bill to parliament second week of October
263,2018-09-21,Sri Lanka’s rupee hits record lows as Central Bank hold rates
264,2018-09-19,Sri Lanka’s CAL facilitates first cross-border share transaction by local investment bank
265,2018-09-14,"We are not exporting at least 60 products under GSP+ list of 6,000 items: PM"
266,2018-09-09,$ 360mn flows out of Sri Lankan markets so far in 2018
267,2018-09-06,"Sri Lanka stock bellwether JKH trades just Rs30,000 as market turnover dries up"
268,2018-09-05,Sri Lanka rupee hits  record low
269,2018-08-30,Godahewa says CSE has tanked since he resigned as SEC Chairman
270,2018-08-28,Financial Intelligence Unit enters into MoU with Insurance Regulatory Commission
271,2018-08-25,Foreign investor bond exodus nears $ 300mn; Colombo stocks close week near multiyear lows
272,2018-08-15,Fitch maintains negative banking sector outlook for Sri Lanka in 2018
273,2018-08-08,CB Governor says bank deposit and lending rates need to come down
274,2018-08-03,"CSE finishes the week lower, turnover continues to be extremely poor"
275,2018-07-26,Moody’s affirms Sri Lanka’s ratings at B1; maintains negative outlook
276,2018-07-25,Opinion : Financial reporting and the impact on capital market development
277,2018-07-13,"Colombo stocks up for the week on sluggish turnover, foreign selling continues"
278,2018-07-11,First Capital downgrades exchange rate target to 161 rupees for end 2018
279,2018-07-06,Sri Lanka gross official reserves improve to USD 9.2 bn by end June
280,2018-07-06,Central Bank maintains policy interest rates at current levels
281,2018-07-05,Perpetual Treasuries suspension of business extended by 6 months
282,2018-07-04,Stocks continue slide to new 2018 lows as turnover dries up
283,2018-07-03,Colombo stocks sink to new lows with S&P SL 20 index down 10% for 2018
284,2018-07-02,Selling accelerates as Colombo stocks hit new lows for 2018
285,2018-06-29,"Colombo stocks drip lower through the week, foreign selling continues"
286,2018-06-28,CB Governor defends Deputy Governor from unfounded allegations
287,2018-06-28,Sri Lanka’s outlook remains stable but is conditional on reforms: World Bank
288,2018-06-28,Anilana (ALHP) investor to make mandatory offer at 18% premium
289,2018-06-26,More pain as afternoon selloff takes Sri Lanka stocks to lowest close in 2018
290,2018-06-26,IMF working paper suggests new Keynesian models for monetary policy decisions
291,2018-06-25,Colombo Stock Exchange (CSE) turnover starts the week at embarrassing levels
292,2018-06-23,Tokyo Cement (TKYO) reports a loss as Sri Lankan construction industry slows in Q1
293,2018-06-22,Colombo stocks in a slumber to finish the week
294,2018-06-22,Anilana (ALHP) reports another loss as east coast tourism struggles
295,2018-06-21,"Colombo stocks snap losing streak, turnover weak"
296,2018-06-20,Opinion: Stock Brokerages in Sri Lanka should publish audited accounts on the CSE website
297,2018-06-20,Hat Trick as Colombo stocks hit 2018 lows for 3rd straight session
298,2018-06-19,NDB Bank to raise Rs6.2bn in discounted rights issue
299,2018-06-19,Another 2018 record low for Sri Lanka stocks
300,2018-06-19,Foreign investors exit Sri Lanka government bonds in 2018
301,2018-06-19,Sri Lanka stocks close at record lows for 2018
302,2018-06-18,Sri Lanka rupee hits new record low of 161.00; Stocks down
303,2018-06-16,EPF proven a winner with its large divestiture of John Keells (JKH) shares to Malaysians in 2012
304,2018-06-15,MTD Walkers (KAPI) reports a massive loss of Rs2.8bn
305,2018-06-13,Foreign Investors stumble with investment in shares of Sri Lanka’s Access Engineering (AEL)
306,2018-06-13,We won’t tolerate speculation further; if necessary will use all instruments to discipline
307,2018-06-05,New MLA amendments to restrict financing fiscal deficit by Central Bank
308,2018-06-02,IMF completes Sri Lanka’s 4th review; approves USD 252 mn disbursement
309,2018-05-28,Dollar strengthening combines with political uncertainty in Sri Lanka: Moody’s
310,2018-05-23,Central Bank to create intervention rules for foreign exchange market
311,2018-05-22,SL – China FTA would result in higher gains for Sri Lankan exports: Study
312,2018-05-22,"Sri Lanka inflation slows to 1.6-pct in April, lowest since Feb 2016"
313,2018-05-18,IMF to complete its 4th review on June 1 as SL introduced fuel price formula
314,2018-05-17,LKR depreciation unwarranted; Reserves to reach US$ 11Bn by June 2018 :CB
315,2018-05-16,Sri Lanka among 23 countries vulnerable to Chinese debt distress: Study
316,2018-05-14,Sri Lanka among most exposed countries to an interest rate shock: Moody’s
317,2018-05-03,Sri Lanka rupee slips to low of 158.00: Stocks down 0.2-pct
318,2018-05-02,Central Bank says foreign sentiment signals confidence in Sri Lanka’s economy
319,2018-04-25,Sri Lanka rupee falls to record low
320,2018-04-24,CSE requests clients of barred broker firms to transfer their stocks
321,2018-04-23,Sri Lanka foreign reserves fall to USD7.3bn in March
322,2018-04-04,Sri Lanka CB cuts policy rate ceiling by 25bps
323,2018-03-27,Sri Lanka to raise USD1000mn via ETFF to finance budget expenses
324,2018-03-21,Government to borrow up to USD300mn from banks in 1Q 2018
325,2018-03-16,Sri Lanka official reserves rebound to USD7.9bn in February
326,2018-02-08,Colombo Stock Exchange records Rs4bn in net foreign purchases last month
327,2018-01-12,Sri Lanka seeks to modify performance criteria; EFF broadly on track: IMF
328,2018-01-12,Sri Lanka official reserves improve to USD8bn by end 2017
329,2018-01-05,Central Bank extends suspension of Perpetual Treasuries for 6 months
330,2018-01-04,"If we are going for a sovereign bond, better to go early: CB Governor"
331,2017-12-16,Sri Lanka official reserves drop to USD7.3bn in November
332,2017-11-27,S&P DJI considers revising index methodology of S&P Sri Lanka 20
333,2017-11-24,New reforms to create win-win situation for Central Bank & Treasury
334,2017-11-13,Sri Lanka official reserves improve to USD7.5bn by end October
335,2017-11-07,Sri Lanka’s Central Bank keeps policy rates steady
336,2017-10-25,CSE to conduct national survey to understand public on share investments
337,2017-10-23,Sri Lanka’s CSE hosted at NASDAQ at market site
338,2017-10-20,PM to introduce liability Mgmt. fund; funds to be raised with transparency
339,2017-10-17,External pressures constrain Sri Lanka’s credit profile: Moody’s
340,2017-10-17,Sri Lanka’s CSE to rename Default Board as Watch List from 2018
341,2017-10-16,IMF reaches staff level agreement on third review of Sri Lanka’s EFF
342,2017-10-16,Sri Lanka official reserves down by USD419mn in September
343,2017-10-12,Use Submit A Tip section of CSE to report market manipulations
344,2017-10-11,Sri Lanka to add dollar-denominated board to Colombo Stock Exchange: OBG report
345,2017-10-04,Sri Lanka to modernize financial sector with USD75mn loan
346,2017-09-27,CB says 5-pct tax to be deducted from NRFC interest payments
347,2017-09-15,Palihapitiya raises USD600 mln in IPO for tech investments
348,2017-09-06,"GAAM: ASPI dips for 7th week, Rs434 mln foreign outflow"
349,2017-09-06,Ceylon Index Fund emerges top performer during 1H 2017
350,2017-08-28,"Jaffna Investor Forum by SEC, CSE gets good response"
351,2017-08-25,Norway’s pension fund reports best half-yearly returns
352,2017-08-22,"GAAM: ASPI dips for 5th week, Rs981mln foreign inflow"
353,2017-08-21,"Shareholder activism on the rise, USD170 bln funds managed"
354,2017-08-15,CB suspends Pan Asia Bank primary dealership for 6 months
355,2017-08-14,"GAAM: ASPI dips 1.1 pct for week, foreign inflow Rs199 mln"
356,2017-08-10,CDS relocates operations to Rajagiriya to support expansion
357,2017-08-09,"Asian stocks fall as North Korea, U.S. tensions escalate"
358,2017-08-08,"Sri Lanka to share info on money laundering with China, Bhutan"
359,2017-08-04,No Confidence Motion against Sri Lankan Foreign Minister submitted
360,2017-08-02,"GAAM: ASPI down 0.1 pct for week, foreign inflow of Rs887 mln"
361,2017-08-01,Australian purchases in the stock market hits an all-time high
362,2017-08-01,Sri Lankan companies eye Africa as next investment destination: Stax
363,2017-07-25,"GAAM: ASPI down 1.4 pct for week, foreign inflow Rs1.27 bln"
364,2017-07-24,Sri Lanka’s average inflation remains at 18-month high in June
365,2017-07-18,Sri Lanka stock market records 8-pct gain in 1H
366,2017-07-18,"IMF completes second review, to disburse USD167.2 mln"
367,2017-07-17,"GAAM: ASPI up 0.4 pct for week, foreign inflow Rs760 mln"
368,2017-07-15,Bangladesh’s first ever FTA will be with Sri Lanka later this year
369,2017-07-12,CSE records second highest yearly foreign inflow
370,2017-07-06,Independence of Sri Lanka SEC should be extended: IOSCO review
371,2017-07-03,"GAAM: Stocks up 0.5pct for week, Rs1 bln foreign inflow"
372,2017-06-29,Revised rules on minimum public holding takes effect from July: SEC
373,2017-06-23,New share transaction fees to be effective from next week
374,2017-06-20,Sri Lanka’s Central Bank eyes full inflation targeting: Governor
375,2017-06-14,"US rate hike expected to hit borrowers, eyes on equities"
376,2017-06-09,Sri Lanka has been living beyond its means: Governor
